;random sample of disease genes;LCC of random disease genes;LCC size of random disease genes
316;[2625, 7532, 5087, 4053, 4625, 2213, 55366, 3980, 8604, 84984, 25923, 80736, 2488, 283450, 185, 590, 9180, 1500, 57863, 114798, 338657, 10312, 6573, 153, 1537, 56159, 84987, 476, 79583, 3350, 91662, 6757, 3973, 973, 535, 7293, 10059, 54766, 11155, 4716, 25790, 7922, 9442, 6929, 1373, 1080, 9896, 51083, 55764, 1415, 19, 729359, 5345, 4208, 1281, 6548, 57192, 118987, 4695, 23514, 7030, 22866, 783, 3952, 4026, 80217, 1678, 26160, 857, 1352, 8364, 3954, 486, 3371, 54499, 80173, 7156, 2009, 6141, 84188, 249, 56603, 124583, 191, 10243, 3020, 2155, 81027, 10413];[7532, 3020, 8364, 10413, 22866];5
317;[9790, 5538, 22858, 51, 2495, 3097, 54658, 23133, 153241, 55605, 2642, 1577, 1462, 5255, 284382, 27245, 23426, 23184, 83449, 5832, 3566, 7515, 23554, 958, 10195, 71, 23154, 343035, 5888, 8546, 6609, 7466, 200894, 51241, 9060, 8651, 100128927, 5515, 7343, 8452, 1508, 9197, 6910, 79042, 80025, 2261, 9382, 6657, 374354, 28981, 57674, 6664, 23203, 23322, 215, 8575, 54795, 23431, 7454, 55690, 1911, 2108, 8022, 2566, 51807, 10, 3071, 5261, 24148, 1743, 9230, 2779, 54583, 2488, 343637, 55689, 5566, 375, 79947, 55755, 9639, 2155, 30061, 27249, 11274, 51025, 7305, 55630, 5159];[5888, 10];2
318;[1281, 3752, 4621, 200162, 65057, 4437, 9663, 57654, 5949, 7187, 8914, 5062, 22, 8092, 57531, 3908, 8863, 284098, 476, 115908, 83452, 5080, 54567, 54766, 4883, 8985, 10011, 5914, 400569, 9150, 2548, 2067, 26057, 2273, 26058, 150274, 2591, 6016, 3728, 10913, 9750, 5648, 64087, 3784, 126328, 51075, 4864, 16, 22866, 165918, 6571, 5337, 8882, 658, 6514, 89970, 1743, 1080, 64421, 1020, 3853, 23586, 126326, 55249, 3990, 92667, 23395, 7204, 6911, 3736, 3476, 5913, 55157, 5873, 353, 91179, 27102, 22897, 8493, 9326, 335, 6907, 3455, 8787, 8036, 9289, 55229, 317719, 1013];[8092, 3853, 55157, 8985, 64087, 1080, 400569, 5914, 10011, 476];10
319;[85366, 10755, 4626, 673, 22954, 1804, 727, 4883, 23761, 7053, 783, 9578, 2487, 57192, 4846, 54800, 51626, 10667, 79947, 861, 3703, 6910, 2588, 22897, 6495, 1315, 84168, 10388, 3621, 3052, 5395, 54982, 3588, 79188, 7156, 79147, 1413, 7276, 55081, 8891, 1406, 9319, 11081, 3273, 3758, 611, 6513, 6866, 84876, 285489, 81846, 23503, 1795, 1439, 23064, 2189, 5718, 2566, 5824, 90167, 27329, 213, 55857, 925, 200931, 54796, 51117, 10892, 255928, 2271, 114902, 10430, 284086, 387700, 8301, 25953, 51763, 4891, 4907, 1589, 31, 7453, 54808, 2563, 340419, 81794, 2990, 1183, 6263];[6513, 10755];2
320;[7305, 286204, 8312, 25939, 4695, 5605, 27034, 10299, 23499, 440435, 10644, 1289, 170691, 7401, 63929, 10940, 1294, 64359, 8468, 81, 23097, 81848, 23396, 1420, 27072, 147372, 3762, 79759, 23327, 5148, 311, 283847, 25974, 255738, 3651, 953, 3655, 8313, 9394, 23114, 91801, 805, 7783, 6201, 55340, 55012, 5648, 4015, 7075, 7248, 6347, 23250, 83550, 5052, 2064, 387119, 5566, 8085, 79140, 5296, 9526, 64419, 10195, 57216, 57592, 7874, 695, 145645, 5176, 10907, 81790, 56975, 116519, 3912, 54892, 22930, 79912, 583, 22884, 27152, 10558, 402381, 57680, 6768, 1415, 80308, 51649, 81624, 4677];[2064, 5296];2
321;[9419, 388389, 23498, 3781, 64919, 6650, 1535, 54790, 23314, 51738, 146754, 55835, 51428, 84706, 54532, 152137, 100, 51103, 55252, 4601, 2034, 8398, 3918, 3614, 8653, 9149, 581, 285489, 7021, 51594, 6887, 7516, 1293, 23224, 3746, 84816, 10367, 5048, 5376, 2984, 60481, 23316, 1906, 8878, 5265, 79005, 8924, 55315, 80216, 6891, 55791, 3658, 2122, 8625, 7046, 3909, 10463, 56606, 11141, 63894, 25915, 10747, 7862, 5320, 1650, 27107, 8996, 24, 127833, 23233, 23370, 64518, 7922, 1183, 1181, 11311, 51004, 54938, 23291, 23554, 2992, 4914, 4534, 6654, 81846, 80155, 4233, 730, 57728];[5376, 127833, 23554];3
322;[200162, 79001, 1027, 8974, 4935, 54538, 79796, 2155, 3123, 2036, 51119, 4174, 9949, 4190, 22796, 2591, 125988, 10765, 23204, 6904, 9782, 6007, 79143, 51004, 27089, 775, 4654, 3736, 10312, 63910, 10457, 259266, 8074, 1050, 284058, 6792, 23135, 471, 3586, 4713, 50717, 11117, 51062, 23314, 3417, 54585, 5195, 1641, 56915, 3426, 2053, 6844, 4595, 7516, 4010, 9562, 51294, 6125, 6651, 5442, 9197, 79853, 283, 2158, 1291, 84520, 55152, 10846, 8911, 26227, 372, 8729, 318, 2317, 55159, 2746, 84172, 23534, 1861, 9445, 10559, 84919, 83999, 57176, 219736, 117581, 1646, 3952, 5053];[3586];1
323;[6007, 7994, 22884, 6602, 7222, 3350, 3273, 10388, 7139, 3071, 1487, 57054, 100, 3800, 55812, 196, 5357, 57216, 55065, 6785, 7841, 4607, 3852, 7454, 8504, 10815, 64374, 150274, 6710, 10660, 774, 4016, 118813, 6442, 81624, 140628, 7528, 26146, 54567, 50617, 10111, 6892, 23533, 55249, 1717, 6664, 340419, 51053, 2799, 3980, 2628, 2984, 23204, 6651, 10381, 7021, 79631, 90522, 118924, 5195, 27247, 7225, 4297, 871, 4722, 10293, 10382, 6731, 2562, 261734, 4909, 7809, 5373, 1917, 4589, 2670, 200576, 176, 3161, 8720, 22995, 514, 10588, 3714, 10526, 31, 9759, 6305, 6873];[7809, 871, 7528, 6442, 55249];5
324;[79759, 11019, 7515, 89781, 4040, 283459, 197, 23461, 85478, 861, 84300, 3621, 7053, 545, 735, 3054, 254528, 1832, 54101, 56606, 2746, 29089, 23394, 1428, 7701, 477, 100506658, 27125, 5530, 80000, 3067, 6925, 1910, 26007, 4361, 1785, 10095, 7046, 2719, 107, 94005, 440193, 10324, 4054, 6820, 2617, 23165, 1638, 4286, 7507, 8942, 650, 2302, 126326, 79738, 89884, 57798, 2022, 9690, 221496, 1278, 720, 2034, 10483, 5149, 54800, 9342, 3000, 10297, 79709, 23417, 4595, 6235, 54919, 3071, 1119, 158, 6100, 631, 3178, 6608, 3860, 9289, 224, 6261, 9949, 3736, 3839, 1315];[1785, 100506658];2
325;[51569, 253827, 269, 79977, 91624, 4632, 5352, 1303, 6049, 5880, 523, 4323, 525, 197135, 4601, 8600, 55779, 56259, 23020, 25, 79776, 875, 1841, 57010, 64421, 9338, 83959, 10940, 347733, 288, 6016, 51520, 9289, 166929, 2328, 129880, 23165, 55366, 55331, 1286, 4864, 134430, 3675, 3593, 1825, 3872, 80153, 3594, 3273, 3030, 1339, 488, 9690, 80114, 10000, 2273, 55149, 25836, 10112, 23261, 311, 5213, 246213, 1374, 7802, 81857, 4069, 3858, 7532, 695, 7277, 2071, 9987, 4702, 1585, 9971, 10142, 10528, 3815, 3767, 170691, 1642, 4633, 6182, 389207, 4286, 4010, 80736, 9075];[7802, 525, 10142];3
326;[9839, 22861, 4312, 2780, 146227, 4948, 6262, 7436, 6647, 84466, 121278, 5587, 91137, 8925, 55704, 10644, 5770, 4846, 128869, 1407, 9321, 1453, 56479, 11178, 6326, 51780, 9354, 87, 11285, 90167, 54209, 23229, 51520, 84189, 6092, 134430, 3242, 6603, 23036, 8288, 56910, 54977, 25794, 124590, 8988, 1737, 10216, 6843, 80216, 80726, 25886, 7552, 5970, 81839, 1725, 10551, 112755, 207, 917, 2121, 6569, 2056, 2212, 23396, 427, 4604, 629, 1644, 51729, 3604, 4632, 6529, 8787, 9080, 9241, 6100, 114798, 6566, 5424, 2752, 25802, 182, 5162, 54802, 3162, 2582, 55764, 23522, 5800];[1737, 5162, 4846, 207, 55704];5
327;[175, 7283, 2581, 51135, 580, 27183, 55610, 5000, 219854, 712, 10142, 54101, 1140, 7535, 30008, 9820, 83990, 1373, 64419, 9439, 8893, 8575, 2033, 90411, 7134, 5274, 9627, 161742, 55503, 85476, 1743, 84984, 5805, 9786, 3188, 65260, 4784, 5962, 55572, 124583, 56683, 4601, 4695, 79848, 54205, 1050, 219972, 55621, 10560, 1807, 255101, 6473, 51117, 4056, 819, 368, 4781, 374969, 362, 57863, 129563, 57054, 701, 55755, 58508, 50511, 3028, 4942, 284058, 6135, 58, 7010, 3425, 3549, 23443, 6611, 590, 8291, 1729, 7123, 5048, 5193, 114803, 1287, 54507, 4163, 23334, 1837, 6495];[54507, 65260, 161742, 30008, 4601, 54205];6
328;[2760, 2627, 10235, 56479, 5591, 53904, 6884, 4353, 7168, 114902, 5885, 58508, 2296, 2584, 6144, 157855, 5333, 9181, 5459, 83449, 1747, 56896, 81622, 6890, 3614, 5324, 9653, 2189, 38, 87, 10978, 7124, 51117, 219844, 23347, 6301, 64374, 10878, 55120, 10565, 7038, 81027, 133396, 579, 9688, 5479, 5925, 116442, 26154, 2729, 917, 673, 6850, 9381, 4174, 27089, 526, 4539, 51371, 9241, 5105, 1743, 3783, 4589, 8560, 3074, 1493, 5034, 79991, 875, 80210, 5587, 1487, 19, 26100, 6607, 84909, 4607, 23514, 9897, 11342, 998, 26999, 5824, 50, 56915, 29081, 2492, 10046];[7168, 38, 6890, 875, 1743, 9688];6
329;[374354, 6885, 343641, 23479, 1105, 388389, 92667, 55753, 6521, 644096, 23126, 254394, 10320, 344, 4978, 283987, 51750, 7299, 23229, 1589, 79415, 128486, 1967, 5063, 146845, 2182, 5350, 3172, 8879, 224, 10841, 7050, 5741, 6770, 9829, 2622, 51241, 64221, 51025, 2050, 80207, 3020, 833, 9289, 818, 84274, 5896, 16, 1384, 55636, 3561, 6688, 1747, 136371, 387119, 83987, 7298, 6305, 200734, 4358, 54499, 220, 130951, 23090, 857, 57670, 23461, 54872, 3735, 26128, 23347, 9054, 131669, 4163, 6218, 2798, 10566, 1499, 5630, 6790, 84172, 4010, 4000, 2571, 8291, 10464, 51185, 7074, 55644];[4000, 200734, 79415];3
330;[4222, 65018, 4702, 4233, 2741, 4140, 127534, 51204, 7528, 774, 1121, 23155, 84168, 4342, 240, 8676, 116461, 64919, 6531, 5940, 715, 23218, 154288, 8891, 808, 80185, 9990, 1802, 79140, 857, 5424, 10020, 5500, 57679, 10095, 2487, 3839, 6204, 2013, 6601, 57531, 7143, 196385, 3712, 3067, 6326, 953, 11284, 10716, 50640, 4914, 1950, 81545, 6888, 65082, 91875, 6575, 3953, 506, 23325, 1181, 55630, 79147, 84520, 5528, 3757, 7390, 10056, 152926, 4153, 375611, 79925, 91252, 4478, 9378, 3973, 55746, 4070, 5949, 51135, 2799, 5058, 375748, 79029, 5567, 22845, 4337, 1292, 5994];[240, 4222];2
331;[129880, 738, 3814, 8192, 374354, 10555, 79991, 5396, 7109, 286151, 153, 7298, 54872, 2677, 5073, 60561, 5199, 2212, 124590, 1508, 91949, 8831, 326625, 203190, 51142, 7253, 91754, 3932, 478, 22880, 145173, 5961, 5664, 4312, 79641, 185, 79848, 87178, 23095, 91252, 3350, 9150, 54931, 7374, 8048, 767, 81689, 6855, 51322, 3604, 2483, 9319, 9688, 1326, 51099, 653361, 23325, 930, 57709, 977, 5649, 23394, 81555, 55851, 26276, 4792, 657, 29998, 22845, 2487, 128637, 63899, 91147, 23767, 3135, 51703, 8792, 79784, 93587, 396, 343035, 79755, 55532, 114902, 1841, 84987, 6448, 9128, 6711];[79848, 60561, 6711];3
332;[7403, 378884, 83700, 801, 6622, 9968, 284654, 23154, 79734, 90121, 4512, 96459, 51135, 26092, 894, 11141, 3939, 3640, 26999, 5283, 26258, 9672, 80347, 3047, 26011, 2192, 6197, 3426, 4654, 5880, 10203, 23093, 1794, 9179, 64220, 3818, 4634, 6347, 22868, 2248, 5618, 6655, 10715, 8558, 10479, 50484, 4092, 2997, 815, 4128, 5119, 5515, 55065, 55870, 9512, 9474, 51241, 1184, 3000, 55280, 55340, 816, 51004, 55714, 3155, 54209, 6584, 5230, 136647, 7025, 5442, 22808, 64065, 8575, 7701, 35, 695, 285590, 5320, 26040, 24145, 7204, 55775, 8425, 7098, 27329, 6658, 925, 55213];[816, 90121, 815];3
333;[27245, 3070, 10606, 55768, 2661, 9725, 6650, 25794, 51776, 5648, 2674, 8291, 51132, 26999, 165, 8905, 65055, 4092, 84868, 1414, 64135, 6295, 55036, 29920, 185, 1917, 1738, 6336, 3008, 114034, 64581, 59, 5308, 2535, 29914, 10908, 23516, 25930, 60, 345, 2617, 50619, 55812, 79587, 27102, 8988, 7456, 51319, 3514, 51362, 55704, 2956, 84628, 3553, 1024, 26224, 5977, 55811, 410, 57709, 6232, 1482, 1729, 81570, 90416, 4978, 5236, 6328, 267012, 23155, 388662, 10269, 29969, 89765, 6399, 54872, 64207, 55215, 1896, 917, 10483, 55777, 57716, 9897, 10459, 10295, 51099, 23265, 10161];[29920, 8905, 1738, 10606];4
334;[80821, 3998, 6134, 1050, 50945, 23189, 9672, 3300, 5052, 1593, 81790, 2706, 4438, 10262, 80152, 23499, 55777, 5696, 718, 26153, 26191, 977, 28981, 4342, 8694, 3135, 1981, 7043, 22800, 8482, 51181, 5962, 3818, 3187, 4968, 3918, 4621, 1041, 54440, 6926, 2677, 89869, 2187, 2055, 9780, 4854, 2627, 4846, 51684, 6041, 10020, 4976, 3053, 5506, 64327, 343641, 2542, 4688, 6144, 164, 58497, 1956, 9895, 6999, 84695, 9997, 83706, 2243, 23321, 221927, 4705, 79719, 7486, 6714, 200734, 5970, 5626, 55074, 29119, 81693, 84520, 79143, 4771, 7545, 91875, 8905, 3026, 51135, 55165];[4846, 1041, 55165, 200734, 29119];5
335;[3106, 1499, 59344, 51501, 51651, 38, 713, 84515, 81790, 56910, 8647, 164045, 4009, 170302, 8884, 5498, 727857, 54344, 255101, 51371, 131669, 54931, 6601, 11198, 353, 7125, 23499, 1811, 64834, 84342, 79853, 2954, 3690, 3778, 51738, 3739, 55617, 23155, 1356, 487, 134218, 7482, 5479, 9095, 10388, 1284, 5889, 56160, 7504, 63929, 100, 51339, 51778, 4125, 27030, 2898, 23005, 64135, 6949, 3815, 493856, 65266, 2639, 4697, 4626, 60558, 2155, 6327, 139212, 3560, 6813, 11330, 83861, 11152, 5898, 200162, 1298, 7879, 7837, 9343, 9427, 7280, 50674, 3067, 55278, 8626, 6338, 200576, 55149];[8626, 1499];2
336;[773, 163183, 57007, 7386, 10000, 26276, 283, 57152, 2911, 669, 6094, 720, 84233, 7109, 4644, 6999, 3207, 3785, 22845, 2584, 64902, 2707, 51520, 5161, 4747, 54806, 57863, 59336, 54888, 200424, 9054, 23443, 55733, 249, 23511, 4160, 58528, 6263, 94005, 134353, 57551, 152816, 25981, 9508, 64218, 9095, 558, 9227, 51693, 10342, 2774, 8729, 3736, 55857, 1496, 64321, 57102, 80152, 26137, 388662, 9197, 10594, 514, 50846, 10013, 2533, 55033, 3135, 57526, 51633, 4792, 5188, 10297, 375748, 51251, 10992, 10558, 213, 3832, 6855, 2642, 644096, 5449, 10982, 10436, 64359, 55521, 6508, 10329];[10342, 9095];2
337;[5058, 80201, 8036, 5310, 3420, 10878, 6757, 11224, 3703, 126792, 6232, 1339, 1816, 4547, 90, 2542, 8626, 25942, 9894, 26580, 126326, 1369, 3664, 7498, 919, 57020, 90121, 54567, 63035, 83872, 23064, 57798, 340024, 7355, 5781, 10008, 54941, 23646, 3030, 8913, 1299, 1130, 26022, 2752, 4689, 104, 2678, 57192, 81622, 5914, 81794, 55388, 84947, 9474, 51569, 3053, 23165, 8106, 8625, 56246, 4481, 80153, 79143, 3141, 4919, 594, 217, 6916, 401024, 6884, 6330, 1892, 23287, 445, 23013, 152110, 9439, 6496, 2186, 5157, 222663, 55835, 1716, 23137, 113235, 112755, 4632, 64220, 255101];[1130, 55835];2
338;[6524, 8242, 130557, 283489, 59341, 284058, 182, 1950, 10555, 5395, 6201, 9051, 91869, 9217, 7102, 23396, 10128, 587, 79158, 444, 1747, 55152, 8546, 2562, 342035, 10524, 9871, 23397, 6336, 4160, 6605, 3930, 22900, 133396, 10345, 4702, 3371, 124997, 2891, 4318, 2773, 51702, 4609, 9152, 9578, 65125, 10992, 326625, 10846, 116150, 1182, 79853, 3621, 55388, 4761, 2257, 50846, 9131, 318, 23316, 22934, 1146, 162417, 2258, 4552, 5257, 8777, 5575, 353238, 23516, 25814, 815, 4342, 9095, 25978, 1056, 6834, 22852, 4921, 10733, 5250, 57190, 6392, 22796, 10342, 2782, 7476, 85476, 3490];[2773, 4609, 2782, 25814];4
339;[537, 5147, 54517, 1815, 80216, 63908, 4352, 64376, 6418, 64377, 9126, 112752, 51778, 27315, 6521, 5950, 9568, 55689, 84695, 10568, 5727, 375790, 4261, 50651, 8737, 9725, 1201, 7222, 9894, 340419, 59336, 1417, 240, 9627, 8842, 5073, 1540, 54443, 5430, 1353, 2068, 1290, 4023, 6809, 26224, 89765, 91039, 57822, 54914, 4967, 773, 84892, 1509, 580, 55367, 3851, 57122, 284, 64327, 23384, 1824, 6609, 3643, 440275, 388389, 3198, 4001, 91452, 51111, 2137, 444, 7439, 5896, 341640, 2235, 9453, 2806, 9853, 22880, 7225, 2533, 161582, 90678, 5340, 10755, 7036, 7385, 23562, 4043];[340419, 773, 9894, 375790, 7385, 3198];6
340;[4626, 55325, 1373, 65993, 925, 10747, 83844, 1414, 8675, 11117, 8526, 6138, 8106, 64780, 4439, 219736, 2904, 8490, 221927, 282996, 51649, 246243, 2214, 3800, 1642, 26053, 4535, 7802, 79755, 10771, 6017, 23265, 953, 567, 9442, 1326, 9241, 857, 55753, 388753, 4351, 50674, 6103, 9377, 783, 23404, 23154, 5611, 2917, 699, 92482, 157680, 8516, 1353, 6868, 2801, 5744, 10551, 285203, 1855, 375748, 8882, 8139, 7018, 6712, 5518, 1053, 10128, 1892, 5396, 23479, 6338, 1028, 8815, 1471, 50943, 629, 57104, 170302, 8803, 6232, 107, 23495, 64837, 2780, 23345, 64127, 5965, 23426];[699, 1855];2
341;[9075, 593, 4179, 7037, 23236, 229, 54443, 6884, 23111, 146862, 6872, 57479, 5373, 4893, 222546, 1776, 145645, 6262, 2720, 7175, 81624, 7532, 10236, 79158, 64421, 80114, 23230, 4534, 6576, 84947, 1420, 5621, 4704, 1286, 2673, 3029, 79574, 269, 2258, 4763, 6571, 9570, 9820, 4254, 2521, 3107, 10913, 5122, 5048, 10079, 123016, 11284, 51185, 3418, 6886, 10558, 21, 1024, 80308, 64849, 11178, 3561, 57152, 63035, 54084, 274, 10436, 1282, 51567, 7277, 4627, 6100, 9180, 29969, 91574, 3043, 54768, 57623, 537, 11342, 51339, 2035, 4512, 1890, 80736, 55033, 10564, 6347, 6916];[274, 6262];2
342;[51204, 1717, 258, 699, 23405, 28958, 3229, 6873, 920, 5977, 57526, 9863, 4208, 4153, 11311, 3055, 6017, 10999, 131118, 51135, 7051, 1802, 6424, 3850, 55553, 4719, 7139, 2243, 9688, 10555, 5443, 389434, 5818, 125170, 5745, 91869, 54453, 2556, 85300, 58497, 3621, 9731, 9138, 8812, 9562, 1674, 841, 23250, 50515, 174, 246243, 10243, 1315, 10765, 10565, 4514, 6925, 64065, 8803, 4683, 152926, 5587, 6892, 6041, 2683, 30817, 6341, 400916, 6622, 84936, 201973, 84572, 246213, 716, 24, 729359, 4694, 4848, 1421, 1050, 27034, 341640, 27102, 8309, 8943, 23432, 81603, 440, 2289];[841, 729359, 11311];3
343;[5575, 284098, 10002, 26115, 152926, 7043, 5191, 6232, 3791, 25885, 760, 3339, 6690, 121512, 79848, 3909, 3199, 2693, 25923, 23418, 51506, 29928, 23093, 2677, 25977, 25974, 3717, 7343, 24137, 6095, 4771, 5449, 6731, 1292, 249, 217, 55074, 3070, 4070, 3848, 25913, 54084, 5971, 7253, 23499, 506, 860, 57817, 399, 2158, 26235, 215, 4544, 55023, 4286, 23013, 8516, 79158, 3145, 1968, 4157, 10093, 4214, 6536, 1314, 3295, 1282, 146059, 5591, 121278, 2492, 367, 2702, 8915, 3850, 4615, 79803, 241, 3047, 2625, 443, 668, 10699, 28958, 5224, 6790, 4796, 811, 23479];[4544, 506, 23499, 5591];4
344;[4338, 50964, 5664, 56521, 2627, 10274, 4897, 10654, 8943, 2674, 80217, 5251, 55182, 710, 3455, 4363, 90624, 6683, 64324, 79738, 3920, 126695, 83706, 5580, 1475, 1103, 1107, 1427, 4914, 1141, 8139, 85440, 213, 26173, 3273, 23204, 5257, 10755, 6487, 80308, 10715, 84879, 1537, 6857, 1415, 5940, 116369, 54828, 3039, 8214, 6424, 9841, 11311, 11285, 29078, 2555, 738, 7043, 11014, 5500, 5015, 1116, 8496, 2581, 145173, 23152, 3777, 10002, 55851, 11232, 5528, 2010, 64849, 22897, 114327, 255101, 124093, 164, 2121, 90, 667, 88, 383, 84317, 4846, 10519, 9181, 2068, 8468];[5664, 4846, 10519, 88, 5500];5
345;[55213, 8517, 3293, 5138, 5580, 30011, 3508, 79853, 1804, 10892, 4720, 54551, 3785, 554, 2806, 3145, 6606, 25930, 3077, 359948, 56244, 64919, 23327, 8148, 1537, 4522, 7837, 51645, 9653, 8632, 118987, 81857, 3978, 3229, 8869, 85016, 25959, 93627, 925, 79053, 54834, 23152, 126792, 1678, 153562, 8481, 2022, 1718, 139285, 8313, 4625, 29851, 55870, 8565, 10664, 1636, 9152, 8241, 27040, 8367, 83394, 10733, 162, 1292, 127534, 29998, 2160, 3419, 3588, 26121, 8456, 59, 55670, 63924, 57178, 3857, 4323, 55262, 2201, 7385, 1962, 1411, 3763, 4043, 1293, 90522, 1630, 23414, 4149];[26121, 25959];2
346;[55329, 5336, 2206, 678, 124997, 7167, 54870, 498, 537, 7358, 65062, 23479, 57505, 375, 8518, 10644, 122402, 9907, 92255, 1788, 6892, 54453, 200879, 374291, 117156, 4311, 3321, 2670, 23746, 6635, 4838, 5981, 55152, 93627, 9681, 11020, 728294, 116461, 23241, 2147, 4541, 8036, 51569, 4638, 4982, 6812, 51079, 4763, 23385, 54551, 51251, 55746, 1292, 2260, 79876, 2235, 80308, 4094, 286262, 7138, 81, 676, 26284, 3482, 28957, 644096, 55159, 4897, 27034, 617, 344018, 2348, 5243, 2244, 10755, 3875, 27102, 222663, 79621, 81622, 3554, 25939, 1729, 9152, 2138, 1407, 23334, 847, 1773];[81622, 65062];2
347;[23116, 60482, 1801, 57670, 56916, 79798, 2660, 84162, 1062, 254065, 7337, 55630, 9820, 64837, 71, 2776, 22861, 55835, 8419, 63976, 79443, 55275, 84572, 64221, 84196, 4508, 3371, 343035, 167691, 1968, 3752, 6341, 6017, 1284, 22800, 29123, 79648, 950, 54704, 894, 6443, 3052, 790, 78989, 83844, 10112, 5244, 659, 64321, 10999, 6866, 8867, 11043, 56997, 26123, 54681, 79625, 23312, 9987, 388552, 144406, 8398, 6197, 1642, 348, 285600, 9663, 22995, 64093, 11342, 26353, 10203, 5430, 175, 57038, 23500, 79693, 6857, 6521, 1854, 54676, 5618, 760, 8450, 157855, 2535, 29127, 23040, 65109];[79648, 348, 71];3
348;[3299, 1417, 4256, 1352, 246213, 84153, 8312, 7535, 6134, 2703, 54892, 8729, 81704, 9338, 23767, 10243, 54806, 7415, 9517, 164656, 51341, 10117, 10142, 4722, 6337, 8632, 2068, 790, 714, 54936, 2934, 51738, 51703, 55036, 5311, 2664, 5479, 6897, 22872, 1500, 64682, 23385, 60482, 56915, 55969, 2815, 3651, 1161, 6878, 55034, 1213, 950, 38, 25953, 10021, 7498, 204, 8074, 25839, 4342, 59336, 58528, 8890, 3818, 340024, 1441, 8504, 4175, 7358, 5648, 1981, 7172, 5015, 123016, 3032, 57654, 1288, 8660, 84061, 9918, 1947, 84140, 23141, 5573, 51196, 55240, 8106, 3123, 4719];[81704, 56915, 84140, 4175];4
349;[8567, 84168, 50485, 57104, 4210, 22934, 7259, 64834, 9820, 51293, 84466, 729, 439, 23404, 80208, 139285, 2009, 1384, 1497, 6638, 3586, 8647, 114902, 57560, 55027, 27125, 5324, 4128, 269, 6660, 55149, 1741, 23129, 1139, 1776, 6487, 7289, 283489, 11041, 23262, 845, 5019, 2070, 4007, 3029, 5468, 843, 22995, 8565, 8314, 64699, 2582, 1053, 5626, 4907, 4297, 9343, 183, 3861, 6884, 1284, 90624, 2688, 5978, 10617, 7306, 24148, 153562, 6910, 90993, 4792, 79574, 51227, 90678, 1062, 8131, 23545, 53616, 162, 23746, 1267, 4547, 9423, 6607, 51633, 56729, 124093, 388753, 7249];[24148, 9343];2
350;[84131, 114548, 64240, 2212, 57187, 3074, 783, 55107, 727857, 51626, 10235, 1289, 56916, 10060, 64087, 6328, 5194, 56479, 55636, 23417, 118987, 22930, 3952, 55656, 3339, 3135, 4486, 8891, 2671, 51744, 5354, 56203, 6229, 6657, 3106, 284654, 22806, 4705, 54982, 3586, 7019, 6777, 5744, 5133, 4157, 4081, 23236, 130340, 6210, 84074, 6795, 4624, 347733, 4175, 2760, 6550, 10565, 3689, 80114, 6583, 2554, 2904, 8820, 6821, 55704, 5630, 582, 4919, 3418, 54756, 54084, 2254, 203068, 2328, 760, 1282, 3932, 93986, 90, 4613, 64601, 59345, 55526, 22, 5589, 808, 6602, 2961, 115399];[6602, 5630, 22806];3
351;[3908, 4677, 374407, 54538, 10659, 64135, 4128, 80210, 4620, 29887, 1374, 92667, 3021, 6928, 2936, 644096, 7175, 153562, 6820, 3035, 27327, 5813, 1967, 80144, 1690, 535, 7482, 8936, 84919, 3187, 3257, 57591, 1436, 3630, 84146, 23438, 23114, 1000, 27315, 629, 9049, 6117, 1376, 57863, 10235, 2720, 9512, 2189, 715, 735, 1559, 2074, 2213, 8284, 9075, 860, 4000, 1130, 154288, 1294, 9493, 2271, 5546, 4796, 4337, 3667, 80816, 22884, 2065, 5521, 2538, 2521, 25977, 2591, 29925, 8292, 94, 1500, 63924, 10644, 1200, 5692, 9791, 284058, 1174, 6674, 8777, 8085, 8625];[644096];1
352;[9321, 65250, 203, 1725, 771, 91252, 22995, 2332, 5245, 3689, 22931, 212, 112476, 51311, 9581, 2009, 64218, 174, 8192, 2153, 8419, 51651, 6757, 6573, 200894, 3507, 8550, 50485, 27107, 11043, 1917, 7862, 1509, 64834, 1066, 3557, 4591, 1411, 4635, 10617, 5192, 55503, 2784, 4292, 55617, 54583, 4893, 11190, 5663, 440435, 977, 23394, 5429, 1962, 8294, 83959, 3052, 54967, 1013, 9663, 29980, 5279, 7476, 10079, 60, 55012, 5337, 3295, 7252, 51343, 8991, 8795, 84700, 91754, 107, 51079, 57017, 83706, 23397, 2660, 222546, 1188, 5328, 50515, 51075, 2188, 23530, 258, 51649];[11043, 1962, 55503, 57017, 60];5
353;[10210, 7175, 4838, 84233, 6336, 10134, 55650, 56203, 80781, 8048, 84515, 9702, 84942, 6452, 25913, 3155, 26092, 760, 7486, 6878, 7358, 5165, 4901, 57728, 54919, 6103, 3579, 23363, 9453, 146227, 23209, 7518, 3340, 3490, 51428, 100506658, 9479, 1277, 7466, 284654, 83879, 2539, 23090, 55699, 8309, 5205, 50814, 7528, 2744, 5376, 23086, 1789, 1540, 6311, 80153, 10651, 159686, 6334, 8473, 54567, 57511, 57122, 27030, 83394, 10699, 55503, 6010, 51594, 5795, 4607, 2184, 55746, 221421, 79709, 65109, 4284, 79443, 4204, 3423, 6497, 2643, 2784, 2488, 11340, 399, 8720, 79846, 3845, 2560];[83879, 7528, 23209, 7466, 4204];5
